,Faixa do rendimento mensal domiciliar per capita ,Para acessar a Internet utiliza-se microcomputador,Para acessar a Internet utiliza-se telefone celular,Rendimento mensal domiciliar per capita ,Tem telefone movel celular,Total de moradores de 10 anos ou mais
0,4.0,,,800.0,2.0,1.0
1,,,,,,
2,4.0,2.0,4.0,1150.0,2.0,1.0
3,4.0,2.0,2.0,793.0,2.0,4.0
4,6.0,,,2900.0,2.0,2.0
5,5.0,2.0,4.0,1990.0,4.0,1.0
6,2.0,,,350.0,2.0,2.0
7,4.0,,,1333.0,2.0,2.0
8,4.0,2.0,2.0,818.0,2.0,4.0
9,,,,,,
10,5.0,2.0,2.0,1716.0,2.0,3.0
11,6.0,2.0,2.0,2500.0,2.0,1.0
12,,,,,,
13,4.0,2.0,2.0,1400.0,2.0,2.0
14,,,,,,
15,3.0,2.0,2.0,666.0,2.0,2.0
16,3.0,,,788.0,2.0,1.0
17,3.0,4.0,2.0,750.0,2.0,3.0
18,4.0,2.0,2.0,1437.0,2.0,5.0
19,3.0,2.0,4.0,600.0,2.0,2.0
20,4.0,2.0,2.0,933.0,2.0,3.0
21,4.0,,,1087.0,2.0,4.0
22,,,,,,
23,6.0,4.0,2.0,2666.0,2.0,2.0
24,,,,,,
25,,,,,,
26,3.0,,,700.0,2.0,3.0
27,6.0,2.0,2.0,3325.0,2.0,4.0
28,6.0,2.0,2.0,3500.0,2.0,2.0
29,4.0,2.0,2.0,1172.0,2.0,3.0
30,5.0,,,1909.0,4.0,2.0
31,6.0,2.0,2.0,3000.0,2.0,2.0
32,2.0,2.0,4.0,366.0,2.0,5.0
33,1.0,2.0,4.0,175.0,2.0,4.0
34,,,,,,
35,2.0,,,262.0,2.0,3.0
36,1.0,,,36.0,2.0,3.0
37,3.0,2.0,2.0,596.0,2.0,3.0
38,99.0,,,999999999999.0,2.0,2.0
39,1.0,2.0,2.0,196.0,2.0,2.0
40,3.0,,,788.0,2.0,2.0
41,2.0,,,394.0,2.0,2.0
42,4.0,2.0,4.0,975.0,2.0,4.0
43,4.0,2.0,4.0,850.0,2.0,2.0
44,5.0,2.0,2.0,2000.0,2.0,1.0
45,3.0,2.0,4.0,480.0,2.0,4.0
46,4.0,,,1262.0,2.0,3.0
47,3.0,,,525.0,2.0,3.0
48,3.0,,,530.0,2.0,3.0
49,3.0,,,650.0,2.0,2.0
50,3.0,2.0,2.0,666.0,2.0,3.0
51,6.0,,,2700.0,2.0,1.0
52,4.0,,,835.0,2.0,4.0
53,4.0,,,1388.0,,1.0
54,5.0,4.0,2.0,2100.0,2.0,2.0
55,3.0,,,579.0,2.0,5.0
56,,,,,,
57,,,,,,
58,4.0,,,1000.0,2.0,5.0
59,,,,,,
60,2.0,,,300.0,2.0,5.0
61,2.0,,,225.0,2.0,2.0
62,4.0,,,900.0,2.0,1.0
63,2.0,,,394.0,2.0,2.0
64,2.0,,,362.0,2.0,3.0
65,2.0,,,312.0,2.0,6.0
66,3.0,4.0,2.0,635.0,2.0,4.0
67,3.0,,,425.0,2.0,3.0
68,2.0,,,394.0,2.0,2.0
69,,,,,,
70,2.0,,,250.0,4.0,3.0
71,3.0,4.0,2.0,550.0,2.0,3.0
72,3.0,4.0,2.0,590.0,2.0,5.0
73,6.0,4.0,2.0,2800.0,2.0,2.0
